CharacterTypes = {"Male", "Female", "Young Male"};

Characters = { 
<"John","Male">,
<"Alex","Male">,
<"Father","Male">,
<"Young Man","Male">,
<"Man Behind Table","Male">,
<"Fat Man","Male">,
<"Older Man","Male">,
<"Husband","Male">,
<"Man #1","Male">,
<"Man #2","Male">,
<"Actor","Male">,
<"Jack Holdman","Male">,
<"New Actor","Male">,
<"Thom","Young Male">,
<"Handsome Man & Bartender","Male">,
<"Mr. Steele","Male">,
<"Customer","Male">,
<"Skippy Skunk","Male">,
<"Peter Porcupine","Male">,
<"Man W/Clipboard","Male">,
<"Robber","Male">,
<"Actor #1","Male">,
<"Actor #2","Young Male">,
<"Director","Male">,
<"Actor w/Mask","Male">,
<"Judge","Male">,
<"Actor #3","Male">,
<"Actor #4","Male">,
<"Big Guy","Male">,
<"Tatooed Man","Male">,
<"Young Actor","Young Male">,
<"Man","Male">,
<"Stacy","Female">,
<"Mother","Female">,
<"Grandma","Female">,
<"Woman w/Glasses","Female">,
<"Woman #1","Female">,
<"Woman #2","Female">,
<"Wife","Female">,
<"Office Worker","Female">,
<"New Actress","Female">,
<"M. Sweetwater","Female">,
<"Alfreda","Female">,
<"Young Actress","Female">,
<"Bessy Neuman","Female">,
<"Woman","Female">,
<"Linda","Female">,
<"Waitress","Female">,
<"Daisy Doo","Female">,
<"Granny","Female">,
<"Actress","Female">,
<"Nurse & Actress w/Mask #1","Female">,
<"Old Woman","Female">,
<"Lawyer","Female">,
<"John2","Male">,
<"Alex2","Male">,
<"Father2","Male">,
<"Young Man2","Male">,
<"Man Behind Table2","Male">,
<"Fat Man2","Male">,
<"Older Man2","Male">,
<"Husband2","Male">,
<"Man #12","Male">,
<"Man #22","Male">,
<"Actor2","Male">,
<"Jack Holdman2","Male">,
<"New Actor2","Male">,
<"Thom2","Young Male">,
<"Handsome Man & Bartender2","Male">,
<"Mr. Steele2","Male">,
<"Customer2","Male">,
<"Skippy Skunk2","Male">,
<"Peter Porcupine2","Male">,
<"Man W/Clipboard2","Male">,
<"Robber2","Male">,
<"Actor #12","Male">,
<"Actor #22","Young Male">,
<"Director2","Male">,
<"Actor w/Mask2","Male">,
<"Judge2","Male">,
<"Actor #32","Male">,
<"Actor #42","Male">,
<"Big Guy2","Male">,
<"Tatooed Man2","Male">,
<"Young Actor2","Young Male">,
<"Man2","Male">,
<"Stacy2","Female">,
<"Mother2","Female">,
<"Grandma2","Female">,
<"Woman w/Glasses2","Female">,
<"Woman #12","Female">,
<"Woman #22","Female">,
<"Wife2","Female">,
<"Office Worker2","Female">,
<"New Actress2","Female">,
<"M. Sweetwater2","Female">,
<"Alfreda2","Female">,
<"Young Actress2","Female">,
<"Bessy Neuman2","Female">,
<"Woman2","Female">,
<"Linda2","Female">,
